sevenue,0,0,0.0,NW,0.19229959,0.80770046
tisguided,0,0,0.0,NW,0.4542652,0.5457348
importunt,0,0,0.0,NW,0.97022724,0.029772805
rainsall,0,0,0.0,NW,0.016630122,0.9833698
gonveniently,0,0,0.0,NW,0.5926946,0.4073054
go,409671,1,6.578393896124764,HF,0.97320324,0.026796777
parklire,0,0,0.0,NW,0.05882531,0.9411747
herfectionist,0,0,0.0,NW,0.4255671,0.5744329
antitrush,0,0,0.0,NW,0.069561936,0.93043804
persists,1193,1,2.4959541248003845,LF,0.94917905,0.050821
vaporize,235,1,2.5705877430972888,LF,0.8910027,0.10899728
capitalization,866,1,2.3710153881920846,LF,0.90580523,0.09419481
argon,315,1,2.29183414214446,LF,0.41608733,0.5839126
istolerant,0,0,0.0,NW,0.011271795,0.98872817
Germaty's,0,0,0.0,NW,0.025324836,0.9746752
chonsoring,0,0,0.0,NW,0.23008479,0.7699152
usurpotion,0,0,0.0,NW,0.5304039,0.4695961
readjusted,61,1,2.1949241291364032,LF,0.8404927,0.15950733
rastly,0,0,0.0,NW,0.20662256,0.7933774
rand,7231,1,3.37461951246091,HF,0.85217416,0.14782582
seedcale,0,0,0.0,NW,0.099858455,0.90014154
publishes,4014,1,2.5705877430972888,LF,0.9926259,0.007374142
uncoiring,0,0,0.0,NW,0.9262097,0.073790304
delivery,17823,1,4.2995819201452,HF,0.9967366,0.0032634004
councip's,0,0,0.0,NW,0.009644659,0.9903554
irrelevant,11614,1,3.711789890634218,HF,0.99817145,0.001828553
ciped,0,0,0.0,NW,0.072386436,0.92761356
edelids,0,0,0.0,NW,0.0055890344,0.99441093
pewelled,0,0,0.0,NW,0.16024464,0.8397554
begins,14702,1,4.218690851094152,HF,0.9187717,0.08122827
glattery,0,0,0.0,NW,0.60401464,0.39598536
nelvet,0,0,0.0,NW,0.035616525,0.9643835
stoilsport,0,0,0.0,NW,0.007612754,0.9923873
skitter,32,1,1.8938941334724222,LF,0.287975,0.7120249
paradoxically,288,1,1.7689553968641223,LF,0.9775484,0.022451585
losting,0,0,0.0,NW,0.087529555,0.9124704
gubernatorial,206,1,1.7689553968641223,LF,0.994266,0.0057339882
snide,900,1,2.754232140043416,LF,0.6763126,0.32368737
learns,2362,1,3.465020410556734,HF,0.9909656,0.0090343645
graipsing,0,0,0.0,NW,0.084473185,0.9155268
relinquish,462,1,2.9639320000801774,LF,0.93380225,0.0661978
blowers,222,1,2.333226827302685,LF,0.90010107,0.09989891
computational,4224,1,1.5928641378084412,LF,0.9659105,0.03408948
crophecy,0,0,0.0,NW,0.007934855,0.99206513
hairdo,207,1,3.1179089448452864,HF,0.96251035,0.037489645
credilection,0,0,0.0,NW,0.56456894,0.43543103
obfuscite,0,0,0.0,NW,0.33543646,0.6645636
emtitle,0,0,0.0,NW,0.686634,0.31336603
synchronasm,0,0,0.0,NW,0.15124652,0.84875345
perfirmer,0,0,0.0,NW,0.11757391,0.8824261
perfume,1151,1,4.058246989256859,HF,0.9417023,0.058297683
nilt,0,0,0.0,NW,0.056520615,0.94347936
lineage,1347,1,2.9352868186306473,LF,0.9735303,0.026469633
von,0,0,0.0,NW,0.9916681,0.008331881
elbows,1652,1,3.392204687262023,HF,0.9936633,0.0063366997
nether,4796,1,2.614053436878379,LF,0.4202164,0.57978356
veceptionist,0,0,0.0,NW,0.7470829,0.25291714
voluntarily,2392,1,3.2961555159271025,HF,0.9983999,0.0016001309
extrube,0,0,0.0,NW,0.10030335,0.89969665
